frame_idx,theta,threshold_name,mode,fired_pixels,event_rate,event_rate_eff,e_per_event_nJ,power_static_mW,power_dyn_valid_mW,power_dyn_fp_mW,power_dyn_fn_mW,power_total_mW
76,0.1,low_threshold,noisy,102903,3087090,3087090,0.1678,345.458,0.492,0.052,0.026,346.002
77,0.1,low_threshold,clean,27311,819330,819330,0.1678,345.458,0.131,0.014,0.007,345.602
77,0.1,low_threshold,noisy,102360,3070800,3070800,0.1678,345.458,0.49,0.052,0.026,345.999
78,0.1,low_threshold,clean,28194,845820,845820,0.1678,345.458,0.135,0.014,0.007,345.607
78,0.1,low_threshold,noisy,102749,3082470,3082470,0.1678,345.458,0.491,0.052,0.026,346.001
79,0.1,low_threshold,clean,30999,929970,929970,0.1678,345.458,0.148,0.016,0.008,345.622
79,0.1,low_threshold,noisy,105274,3158220,3158220,0.1678,345.458,0.504,0.053,0.027,346.014
80,0.1,low_threshold,clean,27518,825540,825540,0.1678,345.458,0.132,0.014,0.007,345.603
80,0.1,low_threshold,noisy,102347,3070410,3070410,0.1678,345.458,0.49,0.052,0.026,345.999
81,0.1,low_threshold,clean,26905,807150,807150,0.1678,345.458,0.129,0.014,0.007,345.6
81,0.1,low_threshold,noisy,101660,3049800,3049800,0.1678,345.458,0.486,0.051,0.026,345.995
82,0.1,low_threshold,clean,32522,975660,975660,0.1678,345.458,0.156,0.016,0.008,345.63
82,0.1,low_threshold,noisy,107081,3212430,3212430,0.1678,345.458,0.512,0.054,0.027,346.024
83,0.1,low_threshold,clean,28516,855480,855480,0.1678,345.458,0.136,0.014,0.007,345.608
83,0.1,low_threshold,noisy,103227,3096810,3096810,0.1678,345.458,0.494,0.052,0.026,346.003
84,0.1,low_threshold,clean,27705,831150,831150,0.1678,345.458,0.133,0.014,0.007,345.604
84,0.1,low_threshold,noisy,102366,3070980,3070980,0.1678,345.458,0.49,0.052,0.026,345.999
85,0.1,low_threshold,clean,27617,828510,828510,0.1678,345.458,0.132,0.014,0.007,345.604
85,0.1,low_threshold,noisy,102571,3077130,3077130,0.1678,345.458,0.491,0.052,0.026,346.0
86,0.1,low_threshold,clean,33957,1018710,1018710,0.1678,345.458,0.162,0.017,0.009,345.637
86,0.1,low_threshold,noisy,108762,3262860,3262860,0.1678,345.458,0.52,0.055,0.027,346.033
87,0.1,low_threshold,clean,26879,806370,806370,0.1678,345.458,0.129,0.014,0.007,345.6
87,0.1,low_threshold,noisy,102045,3061350,3061350,0.1678,345.458,0.488,0.051,0.026,345.997
88,0.1,low_threshold,clean,27519,825570,825570,0.1678,345.458,0.132,0.014,0.007,345.603
