sensor_name,sensor_type,operating_point,theta,fps_used,coast,seed,power_mw,hota,det_a,ass_a,mota,idf1,id_switches,num_pred,num_det_input
Prophesee IMX636,DVS,theta=0.05,0.05,,True,2,32.0,0.0641,0.1724,0.1517,-0.2284,0.0454,1752,22523,48298
Prophesee IMX636,DVS,theta=0.05,0.05,,True,3,32.0,0.0661,0.1746,0.1853,-0.2213,0.0462,1798,22740,48367
Prophesee IMX636,DVS,theta=0.05,0.05,,True,4,32.0,0.0642,0.1683,0.1938,-0.2335,0.0404,1692,22232,48251
Prophesee IMX636,DVS,theta=0.05,0.05,,True,5,32.0,0.0644,0.1713,0.2021,-0.2271,0.0446,1816,22389,48353
Prophesee IMX636,DVS,theta=0.10,0.1,,False,1,32.0,0.0515,0.0821,0.1726,-0.0898,0.0226,1349,9220,31412
Prophesee IMX636,DVS,theta=0.10,0.1,,False,2,32.0,0.0514,0.0833,0.18,-0.0935,0.022,1310,9427,31549
Prophesee IMX636,DVS,theta=0.10,0.1,,False,3,32.0,0.0505,0.0811,0.1883,-0.0918,0.0197,1351,9201,31507
Prophesee IMX636,DVS,theta=0.10,0.1,,False,4,32.0,0.0511,0.0821,0.2167,-0.0926,0.0212,1305,9289,31480
Prophesee IMX636,DVS,theta=0.10,0.1,,False,5,32.0,0.0505,0.0811,0.2131,-0.0938,0.0203,1347,9209,31542
Prophesee IMX636,DVS,theta=0.10,0.1,,True,1,32.0,0.0669,0.177,0.1994,-0.2151,0.0446,1815,22911,48300
Prophesee IMX636,DVS,theta=0.10,0.1,,True,2,32.0,0.0641,0.1724,0.1517,-0.2284,0.0454,1752,22523,48298
Prophesee IMX636,DVS,theta=0.10,0.1,,True,3,32.0,0.0661,0.1746,0.1853,-0.2213,0.0462,1798,22740,48367
Prophesee IMX636,DVS,theta=0.10,0.1,,True,4,32.0,0.0642,0.1683,0.1938,-0.2335,0.0404,1692,22232,48251
Prophesee IMX636,DVS,theta=0.10,0.1,,True,5,32.0,0.0644,0.1713,0.2021,-0.2271,0.0446,1816,22389,48353
Prophesee IMX636,DVS,theta=0.20,0.2,,False,1,32.0,0.0515,0.0821,0.1726,-0.0898,0.0226,1349,9220,31412
Prophesee IMX636,DVS,theta=0.20,0.2,,False,2,32.0,0.0514,0.0833,0.18,-0.0935,0.022,1310,9427,31549
Prophesee IMX636,DVS,theta=0.20,0.2,,False,3,32.0,0.0505,0.0811,0.1883,-0.0918,0.0197,1351,9201,31507
Prophesee IMX636,DVS,theta=0.20,0.2,,False,4,32.0,0.0511,0.0821,0.2167,-0.0926,0.0212,1305,9289,31480
Prophesee IMX636,DVS,theta=0.20,0.2,,False,5,32.0,0.0505,0.0811,0.2131,-0.0938,0.0203,1347,9209,31542
Prophesee IMX636,DVS,theta=0.20,0.2,,True,1,32.0,0.0669,0.177,0.1994,-0.2151,0.0446,1815,22911,48300
Prophesee IMX636,DVS,theta=0.20,0.2,,True,2,32.0,0.0641,0.1724,0.1517,-0.2284,0.0454,1752,22523,48298
Prophesee IMX636,DVS,theta=0.20,0.2,,True,3,32.0,0.0661,0.1746,0.1853,-0.2213,0.0462,1798,22740,48367
Prophesee IMX636,DVS,theta=0.20,0.2,,True,4,32.0,0.0642,0.1683,0.1938,-0.2335,0.0404,1692,22232,48251
Prophesee IMX636,DVS,theta=0.20,0.2,,True,5,32.0,0.0644,0.1713,0.2021,-0.2271,0.0446,1816,22389,48353
Prophesee IMX636,DVS,theta=0.40,0.4,,False,1,32.0,0.0515,0.0821,0.1726,-0.0898,0.0226,1349,9220,31412
Prophesee IMX636,DVS,theta=0.40,0.4,,False,2,32.0,0.0514,0.0833,0.18,-0.0935,0.022,1310,9427,31549
Prophesee IMX636,DVS,theta=0.40,0.4,,False,3,32.0,0.0505,0.0811,0.1883,-0.0918,0.0197,1351,9201,31507
Prophesee IMX636,DVS,theta=0.40,0.4,,False,4,32.0,0.0511,0.0821,0.2167,-0.0926,0.0212,1305,9289,31480
Prophesee IMX636,DVS,theta=0.40,0.4,,False,5,32.0,0.0505,0.0811,0.2131,-0.0938,0.0203,1347,9209,31542
Prophesee IMX636,DVS,theta=0.40,0.4,,True,1,32.0,0.0669,0.177,0.1994,-0.2151,0.0446,1815,22911,48300
Prophesee IMX636,DVS,theta=0.40,0.4,,True,2,32.0,0.0641,0.1724,0.1517,-0.2284,0.0454,1752,22523,48298
Prophesee IMX636,DVS,theta=0.40,0.4,,True,3,32.0,0.0661,0.1746,0.1853,-0.2213,0.0462,1798,22740,48367
Prophesee IMX636,DVS,theta=0.40,0.4,,True,4,32.0,0.0642,0.1683,0.1938,-0.2335,0.0404,1692,22232,48251
Prophesee IMX636,DVS,theta=0.40,0.4,,True,5,32.0,0.0644,0.1713,0.2021,-0.2271,0.0446,1816,22389,48353
Samsung DVS-Gen3.1,DVS,theta=0.05,0.05,,False,1,10.0,0.3404,0.4921,0.2803,0.5892,0.5812,331,28457,31412
Samsung DVS-Gen3.1,DVS,theta=0.05,0.05,,False,2,10.0,0.3417,0.4927,0.2821,0.5902,0.6147,311,28491,31549
Samsung DVS-Gen3.1,DVS,theta=0.05,0.05,,False,3,10.0,0.3425,0.4928,0.2858,0.5907,0.6077,310,28504,31507
